They are far from being extinct .;Họ còn lâu mới bị tuyệt chủng .
So we still have the specimen here . It 's quite warm .;Chúng tôi còn vật mẫu ở đây . Nó còn khá ấm .
When Charles Darwin went across the Atlantic in 1832 on the Beagle , he saw the turkey vulture , and he said , " These are disgusting birds with bald scarlet heads that are formed to revel in putridity . ";Khi Charles Darwin vượt qua Thái Bình Dương năm 1832 từ tàu Beagle , ông thấy những con kền kền Thổ Nhĩ Kỳ , Ông nói , " Những con chim này thật kinh tởm với cái đầu trọc đỏ chói được tạo ra để hoan hỉ trong hôi thối
We 're pale , gray creatures .;Chúng tôi là những sinh vật xanh xao .
We 're pale , gray creatures .;Chúng tôi là những sinh vật xanh xao .
They are far from being extinct .;Họ còn lâu mới bị tuyệt chủng .
So this is the specimen coming out now .;Đây là vật mẫu được lấy ra .
Kenya , this world , will be much poorer without these wonderful species .;Kenya , thế giới này , sẽ nghèo hơn rất nhiều nếu như không có những loài vật tuyệt vời này .
How would we grow these cells?;Làm sao ta có thể nuôi dưỡng những tế bào này?
While in extreme conditions, such as low oxygen level or salinity above 150‰, female brine shrimp produce eggs with a chorion coating which has a brown colour.;Trong khi trong điều kiện khắc nghiệt, chẳng hạn như mức độ oxy thấp hoặc độ mặn trên 150 ‰, tôm nước muối nữ tạo ra trứng với lớp phủ màu nâu.
Taxonomic Studies on the Superfamily Pterophoroidea from North-Western India;Sải cánh dài khoảng 10 mm. ^ Taxonomic Studies on the Superfamily Pterophoroidea from North-Western India
The species was first described by Samuel Stutchbury in 1837.;Loài này được mô tả lần đầu bởi Samuel Stutchbury năm 1837.
The caterpillar is a green, or sometimes reddish, semi-looper.;The caterpillar là một green, hoặc sometimes reddish, semi-looper.
a) For each species of harmful organisms, consequences of introduction shall be assessed on the basis of five risk factors: relationship between harmful organisms and hosts and climate, host range, dispersibility, economic impacts, environmental impacts. The assessment shall be conducted in accordance with Appendix IV enclosed hereof.;a) Đối với mỗi loài sinh vật gây hại, hậu quả du nhập được đánh giá căn cứ vào 5 yếu tố nguy cơ bao gồm: Mối quan hệ giữa sinh vật gây hại với ký chủ và khí hậu, Phổ ký chủ, Khả năng phát tán, Tác động kinh tế, Tác động môi trường. Việc đánh giá thực hiện theo quy định tại Phụ lục IV ban hành kèm theo Thông tư này.
I don 't know if you know this , but bacteria can actually exchange DNA .;Tôi không biết nếu các bạn biết điều này , nhưng vi khuẩn có thể thực sự trao đổi ADN .
Writing down the DNA was an interesting step .;Thiết lập một cấu trúc ADN là một bước thú vị .
We have lots of cells that are not out for themselves anymore .;Chúng ta có rất nhiều tế bào mà chúng không thể tồn tại một cách riêng rẽ .
And that was the brains and the nervous system of those communities .;Và đó là bộ não và hệ thống thần kinh của những quần thể ấy .
And that caused these cells -- that kept them happy for another billion years .;Và nó tạo nên những tế bào này -- làm những tế bào này tồn tại thêm 1 tỉ năm nữa .
These communities of cells , again , began to abstract information .;Những quần thể tế bào này , một lần nữa , bắt đầu chiết ra thông tin .
Your skin cell is really useless without a heart cell , muscle cell , a brain cell and so on .;Tế bào da của mọi người sẽ không có tác dụng gì nếu thiếu sự tồn tại của thế bào tim , tế bào cơ , tế bào não và rất nhiều tế bào khác .
So these communities began to evolve so that the interesting level on which evolution was taking place was no longer a cell , but a community which we call an organism .;Do đó , những quần thể này bắt đầu tiến hoá khiến mức độ thú vị mà tiến hoá xảy ra không còn là trên một tế bào , mà trên một quần thể chúng ta gọi là cơ thể sống .
So that nervous system , the fact that they built these special information structures , tremendously sped up the whole process of evolution .;Hệ thống thần kinh đó , sự thật là chúng hình thành nên những cấu trúc thông tin đặc biệt ấy , đã nhanh chóng thúc đẩy cả quá trình tiến hoá .
They were maturing at five centimeters .;Chúng đạt đến độ tuổi trưởng thành tại kích cỡ 5cm
Now the fish is on the IUCN Red List .;Hiện tại loại cá này đang nằm trong Danh Sách Đỏ của IUCN .
And I think that there 's theories that are beginning to understand about how it started with RNA , but I 'm going to tell a sort of simple story of it , which is that , at that time , there were little drops of oil floating around with all kinds of different recipes of chemicals in them .;Và tôi nghĩ có những giải thuyết đang dần giải thích được cách nó bắt đầu với ARN , nhưng tôi sẽ kể một câu chuyện đơn giản về nó , câu chuyện mà , vào thời điểm đó , có những giọt dầu nhỏ xíu trôi nổi xung quanh với vô vàn công thức hoá học bên trong nó .
But then there was another really interesting step where things became completely different , which is these cells started exchanging and communicating information , so that they began to get communities of cells .;Nhưng tiếp sau đó , có một giai đoạn khác cũng rất thú vị khi mọi thứ trở nên hoàn toàn khác biệt , đó là lúc những tế bào này bắt đầu trao đổi và giao tiếp thông tin , và hình thành nên cộng đồng tế bào .
And in fact , we 're such a multi-cellular community .;Và trong thực tế , chúng ta chính là một quần thể đa tế bào .
The amazing thing is that that way of writing seems to have stayed steady since it evolved two and a half billion years ago .;Điều đáng ngạc nhiên là cách lưu trữ thông tin ấy có vẻ rất ổn định vì nó đã tiến hoá từ 2,5 tỉ năm trước .
