Abuse thrives only in silence .;Sự ngược đãi chỉ đáng sợ trong im lặng .
" Before I die , I want to be tried for piracy . "," Trước khi tôi chết , tôi muốn thử ăn cướp . "
Because in the mean time , the German Constitutional Court ruled that the implementation of this E.U. directive into German law was unconstitutional .;Bởi vì tại thời điểm đó , toà án hiến pháp liên bang đã quy định rằng chỉ thị của Uỷ ban châu Âu này không có hiệu lực trong hệ thống hiến pháp của nước Đức
They were lawyers , journalists , priests , they all said : " We don 't want this . ;Họ là những luật sư , nhà báo và cả những cha xứ , tất cả đều nói rằng : " Chúng tôi không muốn như vậy "
One day , my worst nightmare came true , when I was caught by the Chinese police and brought to the police station for interrogation .;Một ngày , cơn ác mộng đó đã thành sự thật , tôi đã bị cảnh sát Trung Quốc bắt và đưa đến đồn cảnh sát để chất vấn .
When I was a teenager , I was driving with my friend who was an awful driver and she ran a red and of course , we got pulled over , and all it took was a " Sorry , officer , " and we were on our way .;Khi còn là một thiếu nữ , tôi ngồi xe một người bạn cô ta là một người lái xe rất đáng sợ và cô đã vượt đèn đỏ , chúng tôi bị bắt dừng lại , và tất cả những gì tôi đã làm là nói rằng : " Xin lỗi chú cảnh sát " , và chúng tôi đã có thể đi tiếp .
One day , my worst nightmare came true , when I was caught by the Chinese police and brought to the police station for interrogation .;Một ngày , cơn ác mộng đó đã thành sự thật , tôi đã bị cảnh sát Trung Quốc bắt và đưa đến đồn cảnh sát để chất vấn .
Since my family couldn 't understand Chinese , I thought my family was going to be arrested .;Bởi vì gia đình tôi không hiểu tiếng Trung , nên tôi đã nghĩ rằng họ sẽ bị bắt .
So I decided to start a lawsuit against them , because I wanted to have this information .;Và tôi đã quyết định sẽ gửi đơn kiện tới toà án , bởi lẽ tôi muốn có được những thông tin này .
The city came down on me , and basically gave me a citation saying that I had to remove my garden , which this citation was turning into a warrant .;Thành phố tới gặp tôi , và đại khái là đưa cho tôi một công văn , yêu cầu tôi phải phá bỏ mảnh vườn . Công văn đó sau này trở thành trát của toà .
I 'll put down the lawsuit and they will send me all the information I ask for .;Tôi sẽ huỷ đơn kiện , và họ sẽ cung cấp cho tôi những thông tin tôi yêu cầu .
But even after we got past the border , my family was arrested and jailed for illegal border crossing .;Tuy nhiên , sau khi chúng tôi qua được biên giới , gia đình tôi lại bị bắt vào tù vì tội vượt biên trái phép .
But I will do a trial .;Nhưng để tôi thử xem .
