It will look something like this .;Giống như thế này đây .
Jargon is a barrier to our understanding of your ideas .;Thuật ngữ ngăn cản chúng tôi hiểu được ý tưởng của anh .
That 's a lot . Almost everybody today has a mobile phone .;Rất nhiều . Ngày nay , phần lớn chúng ta đều có một chiếc điện thoại di động .
The technologies do not exist to do that .;Không có công nghệ nào làm được điều đó .
And he said that he needed those guns because of the trauma he 'd experienced as a young boy .;Và anh ta nói rằng anh ta cần những cây súng này bởi vì những tổn thương mà anh đã trải qua trong quá khứ khi là một đứa trẻ .
As the Chinese officer approached my family , I impulsively stood up , and I told him that these are deaf and dumb people that I was chaperoning .;Khi người cảnh sát Trung Quốc đến gần họ , tôi đã ngay lập tức đứng dậy và nói với anh ta rằng đây là những người câm điếc mà tôi đang phải đi cùng .
The idea of finding a different technology had absolutely taken over , and there were tiny , tiny little factories in backwaters .;Cái ý tưởng tìm kiếm một công nghệ khác biệt đã hoàn toàn vượt lên trên tất cả và có những nhà máy rất nhỏ bé trong tình trạng trì trệ
And when we do this , who knows ?;Và khi chúng ta làm việc đó , ai mà biết được ?
I always wondered why they had lights but we didn 't .;Tôi lúc nào cũng tự hỏi là tại sao họ lại có điện còn chúng tôi thì không .
But today I will talk about me and my mobile phone , and how it changed my life .;Nhưng hôm nay tôi sẽ nói về bản thân và chiếc điện thoại của tôi , và về cách mà nó đã thay đổi cuộc đời mình .
We can do high-frequency monitoring to get objective data .;Chúng tôi có thể thực hiện sự quan sát với tần số cao để có được dữ liệu nhắm đến .
So together with Zeit Online and Open Data City , I did this .;Do vậy đối với Zeit Online và Open Data City , tôi cũng làm điều tương tự .
That 's the whole idea .;Toàn bộ ý tưởng là thế mà .
They want to have the possibility to track our lives , and they want to store them for all time .;Họ muốn có được khả năng theo sát cuộc sống của chúng ta , và vì lẽ đó họ muốn lưu lại những thông tin này ở mọi thời điểm .
Actually , my student Thanasis , I have to plug him , because he 's done some fantastic work , and now he has proved that it works over the mobile telephone network as well , which enables this project , and we 're getting 99 percent accuracy .;Thực ra , sinh viên của tôi Thanasis , tôi phải khen ngợi anh ta , bởi vì anh ấy đã làm một số công việc tuyệt vời , anh ta đã chứng minh được rằng điều này còn có thể thực hiện được qua mạng điện thoại di động nữa , điều đó cho phép dự án này được thực hiện , và độ chính xác đang đạt đến 99 phần trăm .
But I know electric fences are already invented , but I want to make mine .;Cháu biết là hàng rào điện đã được phát minh rồi , nhưng cháu muốn làm cái của riêng mình .
This directive [ is ] called Data Retention Directive .;Nó được gọi là Chỉ thị bảo lưu dữ liệu .
This is six months of my life , into this file .;Đây là cuộc sống trong sáu tháng của tôi , đã được ghi lại toàn bộ trong tệp dữ liệu này .
You can give somebody an idea .;Bạn có thể cho ai đó một ý tưởng .
Instead , as Einstein said , make everything as simple as possible , but no simpler .;Thay vào đó , như Anh-xtanh đã nói : biến mọi thứ càng đơn giản càng tốt , nhưng đừng đơn giản hơn .
Let 's see . Yeah , it worked .;Xem nè . Vâng , nó dính .
But then I said , I want to go out with this information .;Nhưng sau đó tôi đã nói , tôi muốn công khai những thông tin này .
The technologies do not exist to do that .;Không có công nghệ nào làm được điều đó .
Who calls whom ? Who sends whom an email ?;Ai là người gọi cho những ai ? Ai là người đã gửi cho ai đó email ?
Who is going to invent the technology for the green revolution ? Universities ? Forget about it !;NGười nào sẽ sáng chế ra cái công nghệ cho cuộc cách mạng xanh ? Các trường đại học ư ? quên đi !
