So here we have a video of the vibrating vocal folds .;Ở đây chúng ta có một đoạn phim của các giây thanh quản đang rung
So great progress and treatment has been made over the years .;Trong suốt những năm qua đã có sự tiến bộ to lớn trong quá trình điều trị .
Actually , it still has to cool down first before I can show you that the healing works .;Lẽ ra phải để cho nó nguội bớt trước rồi tôi mới cho bạn thấy hiệu quả của liệu pháp hàn gắn ,
We see all the same symptoms .;Chúng ta thấy đều cùng triệu chứng .
We see vocal tremor , weakness and rigidity .;Chúng ta thấy giọng run , sự suy nhược và xơ cứng .
We have the opportunity to start to search for the early biomarkers of the disease before it 's too late .;Chúng tôi có cơ hội để bắt đầu tìm kiếm những dấu ấn sinh học ban đầu của căn bệnh trước khi nó quá muộn .
When I was researching this talk , I found out that of the 13-year-old girls in the United States , 53 percent don 't like their bodies , and that number goes to 78 percent by the time that they 're 17 .;Khi tôi chuẩn bị cho buổi nói chuyện này , Tôi phát hiện rằng 53 % những cô bé 13 tuổi ở Mỹ không thích cơ thể của mình , và con số này lên đến 78 % khi họ 17 tuổi .
In fact , it 's very likely that this muscular person will end up like this one here , racked with tuberculosis and mercury poisoning in just a few years .;Thực tế , nhiều khả năng người cơ bắp này cuối cùng sẽ giống người này , bị bệnh lao hành hạ và nhiễm độc thuỷ ngân trong vài năm nữa .
From the sound , we can actually track the vocal fold position as it vibrates , and just as the limbs are affected in Parkinson 's , so too are the vocal organs .;Từ âm thanh , chúng ta thực sự có thể theo dấu vị trí dây thanh quản khi rung , Khi các chi bị ảnh hưởng bởi Parkinson , Các cơ quan âm thanh cũng bị thế
The speech actually becomes quieter and more breathy after a while , and that 's one of the example symptoms of it .;Lời nói trở nên trầm lắng hơn và nhiều giọng gió hơn sau một thời gian , và đó là một trong các triệu chứng ví dụ về nó .
However , there are 6.3 million people worldwide who have the disease , and they have to live with incurable weakness , tremor , rigidity and the other symptoms that go along with the disease , so what we need are objective tools to detect the disease before it 's too late .;Tuy nhiên , 6.3 triệu người trên toàn cầu mắc bệnh , và họ phải sống trong tình trạng suy nhược , run rẩy , xơ cứng vô phương chữa trị và các triệu chứng khác đi cùng với căn bệnh này . Những gì chúng ta cần là các công cụ cho mục tiêu rõ rệt để phát hiện ra bệnh trước khi quá muộn .
However , there are 6.3 million people worldwide who have the disease , and they have to live with incurable weakness , tremor , rigidity and the other symptoms that go along with the disease , so what we need are objective tools to detect the disease before it 's too late .;Tuy nhiên , 6.3 triệu người trên toàn cầu mắc bệnh , và họ phải sống trong tình trạng suy nhược , run rẩy , xơ cứng vô phương chữa trị và các triệu chứng khác đi cùng với căn bệnh này . Những gì chúng ta cần là các công cụ cho mục tiêu rõ rệt để phát hiện ra bệnh trước khi quá muộn .
It read , " When you read this , all five family members will not exist in this world , because we haven 't eaten for the past two weeks .;Trong đó có viết : Khi chị đọc được những dòng này thì cả gia đình 5 người của em đã không còn trên cõi đời này nữa , bởi vì cả nhà em đã không có gì để ăn trong hai tuần .
People are dying from curable diseases in South Central Los Angeles .;Ở Nam Trung Los Angeles , mọi người đang chết vì những căn bệnh có thể chữa được .
I see dialysis centers popping up like Starbucks .;Tôi thấy các trung tâm lọc máu mọc lên nhiều như Starbucks .
So , taking the first steps towards this today , we 're launching the Parkinson 's Voice Initiative .;Vì vậy , để thực hiện các bước đầu tiên hướng tới việc này , chúng tôi đang đưa ra trương trình Khởi Đầu giọng nói Parkinson .
With Aculab and PatientsLikeMe , we 're aiming to record a very large number of voices worldwide to collect enough data to start to tackle these four goals .;Với Aculab và PatientsLikeMe , chúng tôi nhắm đến việc ghi âm lại giọng nói với một số lượng rất lớn trên toàn cầu để thu thập đủ dữ liệu và bắt đầu xử trí bốn mục tiêu .
All of them are victim to injury , illness and violence .;Họ đều là nạn nhân của tổn thương , bệnh tật và bạo lực .
I 'd have to rely on Free the Slaves to work within the system for their liberation , and I trusted that they would .;Tôi phải dựa vào tổ chức Giải phóng Nô lệ để hoạt động trong hệ thống để giải phóng họ , và tôi tin họ có thể .
After six months in Japan , 1,100 volunteers had passed through All Hands , hundreds of whom had helped us hand-clean over 135,000 photographs , the large majority a large majority of which did actually find their home again , importantly .;Sau sáu tháng tại Nhật bản , 1.100 tình nguyện viên đã tham gia tổ chức All Hands , trong đó , hàng trăm người đã tỉ mẩn lau sạch hơn 135.000 bức ảnh , phần lớn — — phần lớn số ảnh đã về lại với chủ nhân của mình , đây là điều hết sức quan trọng .
No need to go to the clinic for a routine checkup .;Không cần phải đi đến phòng khám để kiểm tra định kì .
So Max , by taking all these samples of , let 's say , 10,000 people , you 'll be able to tell who 's healthy and who 's not ?;Tom Rielly : Vậy Max , bằng cách lấy tất cả các mẫu cho là của 10.000 người đi , bạn có thể cho biết ai khoẻ mạnh và ai không ?
And so just as the womb entirely envelopes the embryo , which grows within it , the divine matrix of compassion nourishes the entire existence .;Và bởi vì tử cung bao bọc hoàn toàn phôi thai đang phát triển trong lòng nó , ma trận thiêng liêng của tình thương nuôi dưỡng toàn bộ sự sống đó .
MPs do not help to prevent the spread of diseases .;Quân cảnh không giúp ngăn chặn sự lây lan của bệnh tật .
Takes about $ 300 , by the way , in the neurologist 's clinic to do it .;Chỉ tất khoảng $ 300 mà thôi , Để làm xét nghiệm này tại phòng khám Bác Sỹ chuyên khoa thần kinh
Now , for you who may be less familiar with the term " autism , " it 's a complex brain disorder that affects social communication , learning and sometimes physical skills .;Với các bạn không quen lắm với cụm từ ' tự kỉ ' , nó là một rối loạn tổ hợp não bộ mà ảnh hưởng đến khả năng giao tiếp xã hội , học tập và đôi khi những kỷ năng về thể chất .
Yeah . Yeah . So what will happen is that , during the call you have to indicate whether or not you have the disease or not , you see . Right .;Max Little : vâng . Vâng . Điều sẽ xảy ra là , khi gọi bạn phải chỉ rõ bạn có bệnh hay không. phải .
So what that means is that people will be able to — People will be able to call in from their mobile phones and do this test , and people with Parkinson 's could call in , record their voice , and then their doctor can check up on their progress , see where they 're doing in this course of the disease .;Vậy , điều đó có nghĩa là mọi người sẽ có thể — Mọi người có thể gọi từ điện thoại di động của họ và làm bài kiểm tra này , và những người có bệnh Parkinson có thể gọi , ghi âm giọng nói của họ , và sau đó bác sĩ có thể kiểm tra sự tiến triển của họ , xem tình trạng sức khoẻ của họ khi mang bệnh
You don 't have to design a whole new set of hospitals to do it .;Bạn không cần phải thiết kế cả một hệ thống bệnh viện hoàn toàn mới để tiến hành thử nghiệm này.
No need to go to the clinic for a routine checkup .;Không cần phải đi đến phòng khám để kiểm tra định kì .
You don 't have to design a whole new set of hospitals to do it .;Bạn không cần phải thiết kế cả một hệ thống bệnh viện hoàn toàn mới để tiến hành thử nghiệm này
It manifests in each individual differently , hence why Remi is so different from Sam .;Triệu chứng bệnh ở mỗi cá nhân một khác , đó là lý do tại sao Remi là rất khác Sam .
But frustratingly , with Parkinson 's disease and other movement disorders , there are no biomarkers , so there 's no simple blood test that you can do , and the best that we have is like this 20-minute neurologist test .;Nhưng thật nản lòng là với bệnh Parkinson và các chứng rối loạn vận động khác , chúng không có dấu ấn sinh học , vì vậy không có phương pháp xét nghiệm máu đơn giản nào mà bạn có thể làm , và cái tốt nhất mà chúng ta có là bài kiểm tra thần kinh này .
So these voice-based tests , how do they stack up against expert clinical tests ? We 'll , they 're both non-invasive .;Vậy làm thế nào các bài thử nghiệm dựa trên giọng nói này so sánh ngang ngửa với thử nghiệm lâm sàng chuyên môn ? Cả hai đều không xâm hạm lẫn nhau .
You have to go to the clinic to do it . It 's very , very costly , and that means that , outside the clinical trials , it 's just never done . It 's never done .;Bạn cần phải đến bệnh viện để làm điều đó . Nó rất rất tốn kém , có nghĩa là cuộc xét nghiệm này nằm ngoài các thử nghiệm lâm sàng , Nó chưa bao giờ được thực hiện .
Now , that would actually save on a difficult trip to the clinic , and what if patients could do that test themselves , right ?;Điều đó sẽ thực sự miễn một chuyến đi đến phòng khám , và nếu bệnh nhân còn có thể tự làm xét nghiệm nữa , thì sao ?
I see dialysis centers popping up like Starbucks .;Tôi thấy các trung tâm lọc máu mọc lên nhiều như Starbucks .
With Aculab and PatientsLikeMe , we 're aiming to record a very large number of voices worldwide to collect enough data to start to tackle these four goals .;Với Aculab và PatientsLikeMe , chúng tôi nhắm đến việc ghi âm lại giọng nói với một số lượng rất lớn trên toàn cầu để thu thập đủ dữ liệu và bắt đầu xử trí bốn mục tiêu .
And I was wondering , how would you feel if you had no access to healthy food , if every time you walk out your door you see the ill effects that the present food system has on your neighborhood ?;Và tôi tự hỏi , bạn cảm thấy thế nào khi không có thực phẩm có lợi cho sức khoẻ , khi mỗi lần ra khỏi cửa bạn phải nhìn thấy những tác động xấu mà hệ thống thực phẩm hiện nay gây ra cho nơi mình sinh sống ?
Because autistic or not , the differences that we have -- We 've got a gift ! Everyone 's got a gift inside of us , and in all honesty , the pursuit of normality is the ultimate sacrifice of potential .;Vì có mắc chứng tự kỷ hay không , sự khác biệt giữa chúng ta -- Chúng ta có một món quà ! Ai cũng mang trong mình một món quà , và thật lòng mà nói , theo đuổi cái bình thường chính là hi sinh tiềm năng lớn nhất .
But what lifted my heart and strengthened my soul was that even though this was the case , although they were not seen as ordinary , this could only mean one thing : that they were extraordinary -- autistic and extraordinary .;Nhưng điều khiến trái tim tôi nhẹ nhõm hơn và tâm hồn tôi mạnh mẽ hơn là rằng , mặc dù điều này là đúng , dù các em không được coi là bình thường , điều này chỉ có thể có nghĩa rằng : các em thật phi thường -- người tự kỉ và người phi thường .
But when none of this is presented to them , if they 're not shown how food affects the mind and the body , they blindly eat whatever the hell you put in front of them .;Nhưng nếu không ai cho chúng thấy việc đó , nếu chúng không được thấy những ảnh hưởng của thực phẩm tới trí não và cơ thể , chúng mù quáng sẽ ăn bất cứ cái gì được đặt trước mặt .
Now , for you who may be less familiar with the term " autism , " it 's a complex brain disorder that affects social communication , learning and sometimes physical skills .;Với các bạn không quen lắm với cụm từ ' tự kỉ ' , nó là một rối loạn tổ hợp não bộ mà ảnh hưởng đến khả năng giao tiếp xã hội , học tập và đôi khi những kỷ năng về thể chất .
Your doctor may prescribe imiquimod, podophyllin, or podofilox or to treat the lesion.;Bác sĩ thường kê imiquimod, podophyllin hay podofilox để trị các thương tổn.
I can't get the pills in, Daya, I'm sorry.;Anh không thể đem thuốc vào được, Daya, anh xin lỗi.
So what we do with this is, for example, we can look at two patients, one that responded to a drug and one that didn't respond to a drug, and ask, " What's going on differently inside of them? ;Chúng ta có thể sử dụng thông tin này ví dụ như, chúng ta nhìn vào hai bệnh nhân một phản ứng với một loại thuốc và một không phản ứng với thuốc, và hỏi, " Điều khác nhau gì đang diễn ra bên trong họ? 
Look for over-the-counter antihistamines like Benadryl or Chlor-Trimeton.;Bạn hãy tìm thuốc kháng histamine không kê toa như Benadryl hoặc Chlor-Trimeton.
It works by stopping additional blood vessel growth, which occurs in wet macular degeneration, and is done 15 minutes before the photodynamic therapy.;Thuốc này có tác dụng ngăn chặn sự phát triển mạch máu, vốn xảy ra ở bệnh thoái hóa điểm vàng ướt, và được thực hiện trước khi áp dụng liệu pháp quang động 15 phút.
Depending on frequencies bacterial races are often found in chronic tonsilitis afterwards considering carefully designation using antibiotic and bacterial are found in to choose suitable antibiotic.;Dựa vào tần suất của các chủng vi khuẩn hay gặp trong viêm amiđan mạn để cân nhắc việc chỉ định kháng sinh và dựa vào dòng vi khuẩn được tìm thấy để chọn kháng sinh hợp lý.
